K,Error
2553,403193.7943387799
2554,399246.56564395665
2555,397581.55393494933
2556,396400.3876641409
2557,400710.78143855085
2558,397550.5585026836
2559,394800.19205157825
2560,399450.4791987407
2561,391270.21639677155
2562,390131.0177195785
2563,389666.1650692904
2564,392661.7645696921
2565,393588.2118158807
2566,395939.5211364376
2567,395053.5484174291
2568,399015.4891178141
2569,407163.53381392936
2570,411198.250631195
2571,417410.6016187261
2572,440003.57821394195
2573,461540.16560587264
2574,438642.52881424525
2575,440228.7642817393
2576,425497.3484144625
2577,446788.5954028183
2578,468570.2661051173
2579,424590.6796722291
2580,443459.48384484014
2581,456810.08821286197
2582,463589.4900394012
2583,468307.54218148516
2584,471650.8742714374
2585,470819.96733429306
2586,473156.03913526895
2587,459373.111065371
2588,458220.48718115885
2589,459972.84906412667
2590,449670.09082512977
2591,445252.54945958435
2592,444096.2178322622
2593,441769.0423727897
2594,441297.86013393145
2595,439210.71323849197
2596,441955.471229123
2597,441568.6327329778
2598,440305.9795853447
2599,435917.2075421246
2600,432992.22992342344
2601,430933.3823995586
2602,432368.6364751489
2603,439708.707685077
2604,430390.2274975683
2605,432734.00618087564
2606,419732.8368947776
2607,438759.3097445134
2608,431911.2317996714
2609,422995.9889669249
2610,408062.72663407074
2611,406726.8363956549
2612,397359.75040536607
2613,403809.9711740167
2614,427613.918549608
2615,430117.0134359908
2616,470257.2123775768
2617,437674.2055705668
2618,430472.351100974
2619,434103.3205669136
2620,437211.44493018935
2621,436148.11961905425
2622,438311.06747164833
2623,438187.71222240856
2624,439307.8337454608
2625,438211.8954568298
2626,437481.33862398454
2627,441020.4261762447
2628,441942.02397767594
2629,440374.80661375204
2630,436424.9972912627
2631,436247.7280965867
2632,446484.7146397074
2633,449696.7386764848
2634,443983.617424574
2635,418393.04920703615
2636,414206.07944805635
2637,419942.1159458909
2638,427969.40369882225
2639,419554.27249895374
2640,419357.8325838037
2641,395442.8308201445
2642,396459.6937627504
2643,392467.5040839831
2644,393842.28154216835
2645,414931.647798302
2646,431097.10220237705
2647,416016.8488833943
2648,420420.2605780775
2649,428201.6038000907
2650,435367.54135781404
2651,439369.88444874744
2652,442377.1326878166
2653,446715.6027139125
2654,447736.88375828014
2655,447537.56004544033
2656,450991.47820675385
2657,450757.48660811025
2658,445980.9752655613
2659,433325.9629661627
2660,425350.40854495025
2661,413106.1335892951
2662,412362.5738160342
2663,413679.2786054093
2664,416406.89998721634
2665,411628.7169023641
2666,406891.0402418351
2667,406143.7850077488
2668,399398.3480533918
2669,415342.3676770551
2670,427051.2034515864
2671,416184.7971778662
2672,422650.86617484526
2673,409721.93548295845
2674,405652.6868402056
2675,413067.5846763561
2676,412091.7323267388
